                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.88888,                0.78782,                 1.1325,                0.84659,                0.69395,                0.75804,                0.45025,                 1.3843,                0.86716,                 1.4758,             0.00032523,             0.00032523,             0.00032523
                     58,                 0.8887,                0.79089,                 1.1326,                0.88368,                0.69684,                0.75765,                0.44045,                 1.4501,                0.86984,                 1.5707,             0.00031816,             0.00031816,             0.00031816
                     59,                0.89704,                0.80051,                 1.1334,                0.86922,                0.68937,                 0.7624,                0.44835,                 1.3869,                0.88473,                 1.4933,             0.00031109,             0.00031109,             0.00031109
                     60,                 0.8803,                0.77725,                 1.1288,                0.87961,                0.68385,                0.76363,                0.45556,                 1.3661,                0.88791,                 1.4763,             0.00030402,             0.00030402,             0.00030402
                     61,                0.88718,                0.78431,                 1.1321,                0.89297,                0.66561,                0.74553,                0.44779,                 1.3809,                0.88984,                 1.4774,             0.00029695,             0.00029695,             0.00029695
                     62,                 0.8781,                 0.7722,                 1.1227,                0.89978,                0.66584,                0.75615,                0.45221,                 1.3739,                0.86517,                 1.5001,             0.00028988,             0.00028988,             0.00028988
                     63,                0.87533,                0.76496,                 1.1208,                0.87574,                0.70298,                0.75982,                0.44722,                  1.378,                0.86049,                 1.5071,             0.00028282,             0.00028282,             0.00028282
                     64,                0.87725,                 0.7762,                 1.1271,                0.85934,                0.70379,                0.77395,                0.46254,                 1.3502,                0.84703,                 1.4848,             0.00027575,             0.00027575,             0.00027575
                     65,                0.87001,                 0.7614,                 1.1206,                0.86847,                0.70574,                0.76768,                0.46111,                 1.3795,                0.85425,                 1.4888,             0.00026868,             0.00026868,             0.00026868
                     66,                0.86277,                0.74737,                 1.1165,                0.87025,                0.70063,                0.77338,                0.45948,                  1.369,                0.86716,                 1.4843,             0.00026161,             0.00026161,             0.00026161
                     67,                0.86773,                0.75989,                 1.1162,                0.87299,                 0.6888,                0.76714,                0.45014,                 1.4106,                0.85327,                 1.5153,             0.00025454,             0.00025454,             0.00025454
                     68,                 0.8595,                  0.748,                 1.1119,                0.86977,                0.68587,                0.75459,                0.46228,                 1.3362,                0.86458,                 1.4464,             0.00024747,             0.00024747,             0.00024747
                     69,                0.86321,                0.75204,                  1.114,                0.87963,                0.69925,                0.76915,                0.45805,                 1.3783,                0.82707,                 1.4873,              0.0002404,              0.0002404,              0.0002404
                     70,                0.86134,                0.75211,                 1.1142,                0.85233,                0.71026,                0.76198,                0.46647,                 1.3485,                0.83274,                 1.4548,             0.00023334,             0.00023334,             0.00023334
                     71,                0.86318,                0.74212,                 1.1129,                0.89831,                0.69881,                0.77584,                0.45746,                 1.3919,                0.85187,                  1.506,             0.00022627,             0.00022627,             0.00022627
                     72,                0.84772,                0.73986,                 1.1091,                0.85995,                0.71716,                0.77925,                0.47037,                 1.3375,                0.82096,                 1.4694,              0.0002192,              0.0002192,              0.0002192
                     73,                0.84417,                0.72884,                 1.1013,                0.87862,                0.70593,                0.76316,                0.46311,                 1.3576,                0.83193,                 1.4864,             0.00021213,             0.00021213,             0.00021213
                     74,                0.85428,                0.73134,                 1.1017,                0.87551,                0.70025,                0.76672,                0.44791,                 1.3945,                0.83428,                 1.5391,             0.00020506,             0.00020506,             0.00020506
                     75,                0.84565,                 0.7205,                 1.1028,                0.88381,                0.70756,                0.77368,                0.47146,                 1.3078,                0.80944,                 1.4467,             0.00019799,             0.00019799,             0.00019799
                     76,                0.83771,                0.71621,                 1.0988,                0.87815,                0.70487,                0.77601,                0.46429,                 1.3064,                0.81214,                 1.4267,             0.00019092,             0.00019092,             0.00019092
                     77,                0.83214,                0.70899,                 1.0927,                0.88028,                0.71669,                0.77974,                  0.474,                 1.3187,                0.79946,                 1.4578,             0.00018385,             0.00018385,             0.00018385
                     78,                0.83562,                0.71411,                 1.0988,                0.87352,                0.70366,                0.77854,                0.46686,                 1.3807,                0.80623,                 1.4963,             0.00017679,             0.00017679,             0.00017679
                     79,                0.83387,                0.71642,                 1.0965,                 0.8727,                0.71417,                0.77771,                0.46935,                 1.3551,                0.81178,                 1.4835,             0.00016972,             0.00016972,             0.00016972
                     80,                0.82715,                0.70753,                 1.0952,                0.86937,                 0.7179,                0.77978,                0.45481,                 1.4011,                0.80834,                 1.5159,             0.00016265,             0.00016265,             0.00016265
                     81,                0.82163,                0.70695,                 1.0948,                0.86502,                0.71277,                0.78009,                0.47373,                 1.3558,                0.78058,                 1.4792,             0.00015558,             0.00015558,             0.00015558
                     82,                0.82543,                0.71069,                 1.0951,                 0.8724,                0.71939,                 0.7837,                0.47864,                 1.3466,                0.78162,                 1.4432,             0.00014851,             0.00014851,             0.00014851
                     83,                 0.8203,                 0.7032,                 1.0888,                0.88898,                0.70536,                0.77827,                0.47446,                 1.3319,                0.78492,                 1.4605,             0.00014144,             0.00014144,             0.00014144
                     84,                0.81431,                 0.6969,                 1.0905,                0.89932,                0.69918,                0.78224,                0.48385,                 1.2903,                0.78198,                 1.4365,             0.00013437,             0.00013437,             0.00013437
                     85,                0.81073,                0.69206,                 1.0871,                0.88758,                0.69898,                 0.7771,                0.47468,                 1.3236,                 0.7969,                 1.4492,             0.00012731,             0.00012731,             0.00012731
                     86,                0.81244,                0.69569,                 1.0889,                0.90421,                0.69696,                0.78223,                0.48168,                 1.3096,                0.78234,                 1.4291,             0.00012024,             0.00012024,             0.00012024
                     87,                0.82191,                0.69154,                 1.0868,                0.89214,                0.71866,                 0.7886,                0.47742,                 1.3459,                0.78001,                 1.4601,             0.00011317,             0.00011317,             0.00011317
                     88,                0.81246,                0.69353,                 1.0861,                0.85182,                 0.7169,                0.78166,                0.48543,                 1.3018,                 0.7821,                 1.4263,              0.0001061,              0.0001061,              0.0001061
                     89,                0.80013,                0.68392,                 1.0809,                0.87464,                0.71303,                0.77979,                0.46818,                 1.3343,                0.78575,                 1.4476,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                  0.798,                0.67974,                 1.0791,                0.86157,                0.71565,                0.78328,                0.47872,                 1.3299,                0.78159,                 1.4584,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.81873,                 0.6106,                 1.0812,                0.85648,                0.69552,                0.76836,                0.46563,                 1.3477,                0.79789,                 1.4657,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.79916,                0.59236,                 1.0729,                0.85162,                 0.7108,                0.77047,                 0.4756,                 1.3256,                0.77583,                 1.4524,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.79897,                0.58925,                 1.0695,                0.86672,                0.71916,                0.77823,                0.48561,                 1.3139,                0.76242,                 1.4443,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.78993,                0.57913,                 1.0667,                0.86493,                0.71959,                 0.7833,                  0.481,                 1.3241,                0.77118,                 1.4428,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                  0.781,                0.57681,                 1.0642,                0.86995,                 0.7231,                0.77941,                0.48385,                 1.3022,                 0.7666,                 1.4376,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.77758,                0.56756,                 1.0619,                0.90397,                0.70955,                0.78301,                 0.4882,                 1.2937,                0.76156,                 1.4277,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.77603,                0.57032,                 1.0614,                0.86181,                0.71626,                0.78015,                0.48718,                 1.2904,                0.76323,                 1.4299,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.77767,                0.56732,                 1.0575,                0.86186,                0.72314,                0.78382,                0.48505,                 1.3101,                0.77089,                 1.4392,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.77021,                0.56582,                 1.0555,                 0.8732,                0.72274,                0.78378,                0.48876,                 1.2881,                0.76327,                 1.4242,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.76951,                0.56469,                 1.0575,                0.86383,                0.72784,                0.78286,                0.49016,                 1.2756,                0.76179,                 1.4133,             2.1277e-05,             2.1277e-05,             2.1277e-05
